id,name,mandatory_in_semester_ids,optional_in_semester_ids
arhorg,Arhitektura organizacije,fipu_inf_pred_info_sem1,
eng1,Engleski jezik 1,fipu_inf_pred_info_sem1,
mat1,Matematika 1,fipu_inf_pred_info_sem1,
oikt,Osnove IKT,fipu_inf_pred_info_sem1,
progr,Programiranje,fipu_inf_pred_info_sem1,
baze1,Baze podataka 1,fipu_inf_pred_info_sem2,
mat2,Matematika 2,fipu_inf_pred_info_sem2,
multimedsus,Multimedijalni sustavi,fipu_inf_pred_info_sem2,
pis,Poslovni informacijski sustavi,fipu_inf_pred_info_sem2,
spa,Strukture podataka i algoritmi,fipu_inf_pred_info_sem2,
baze2,Baze podataka 2,fipu_inf_pred_info_sem3,
oper_sus,Operacijski sustavi,fipu_inf_pred_info_sem3,
racmreze,Računalne mreže,fipu_inf_pred_info_sem3,
stat,Statistika,fipu_inf_pred_info_sem3,
funkprog,Funkcijsko programiranje,,"fipu_inf_pred_info_sem3,fipu_inf_pred_info_sem5,fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3,fipu_inf_dipl_info_nast_sem3"
iup,Informatizacija uredskog poslovanja,,"fipu_inf_pred_info_sem3,fipu_inf_pred_info_sem5,fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3,fipu_inf_dipl_info_nast_sem3"
osnekon,Osnove ekonomije,,fipu_inf_pred_info_sem3
racvirtokr,Računovodstvo u virtualnom okruženju,,"fipu_inf_pred_info_sem3,fipu_inf_pred_info_sem5,fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
ntp,Napredne tehnike programiranja,fipu_inf_pred_info_sem4,
proginz,Programsko inžinjerstvo,fipu_inf_pred_info_sem4,
sigracsus,Sigurnost računalnih sustava,fipu_inf_pred_info_sem4,
ai,Umjetna inteligencija,fipu_inf_pred_info_sem4,
eng2,Engleski jezik 2,,fipu_inf_pred_info_sem4
komorg,Komuniciranje u organizaciji,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
qict,Kvaliteta u ICT,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
racis,Računovodstveni informacijski sustavi,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
knowsys,Sustavi temeljeni na znanju,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
tinf,Teorija informacija,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
upravis,Upravljački informacijski sustavi,,"fipu_inf_pred_info_sem4,fipu_inf_pred_info_sem6,fipu_inf_dipl_info_sem2"
icovrac,Interakcija čovjeka i računala,fipu_inf_pred_info_sem5,
operistr,Operacijska istraživanja,fipu_inf_pred_info_sem5,
upravposproc,Upravljanje poslovnim procesima,fipu_inf_pred_info_sem5,
webapp,Web aplikacije,fipu_inf_pred_info_sem5,
modisim,Modeliranje i simulacije,fipu_inf_pred_info_sem6,
praktikum,Praktikum,fipu_inf_pred_info_sem6,
spi,Sustavi poslovne inteligencije,fipu_inf_pred_info_sem6,
mlits,Matematička logika i teorija skupova,fipu_inf_dipl_info_sem1,
primstat,Primijenjena statistika,fipu_inf_dipl_info_sem1,
stp,Suvremene tehnike programiranja,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_nast_sem1",
virtteh,Virtualizacijske tehnologije,fipu_inf_dipl_info_sem1,
bchainapp,Blockchain aplikacije,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3,fipu_inf_dipl_info_nast_sem3"
digmarktur,Digitalni marketing u turizmu,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
ekonometrija,Ekonometrija,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
gis,Geoinformacijski sustavi,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3,fipu_inf_dipl_info_nast_sem3"
inzkompsus,Inžinjerstvo kompleksnih sustava,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
hrmgmt,Management ljudskih potencijala,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
racgrafika,Računalna grafika,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3,fipu_inf_dipl_info_nast_sem3"
uprprojekti,Upravljanje projektima,,"fipu_inf_dipl_info_sem1,fipu_inf_dipl_info_sem3"
dipri,Dizajn i programiranje računalnih igara,fipu_inf_dipl_info_sem2,
mobapp,Mobilne aplikacije,fipu_inf_dipl_info_sem2,
mrezteh,Mrežne tehnologije,fipu_inf_dipl_info_sem2,
